feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-505-5p	hsa-miR-505-5p	-0.446180742513593	0.37285097865253	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4284	hsa-miR-4284	0.807070731779819	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3178	hsa-miR-3178	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4492	hsa-miR-4492	0.196925795542771	0.681400787687134	0.916516159024411	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4525	hsa-miR-4525	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-503-3p	hsa-miR-503-3p	-0.35669676003335	0.534154144893326	0.828586933325599	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-23a-5p	hsa-miR-23a-5p	0.255122674623704	0.661116791751228	0.916516159024411	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4710	hsa-miR-4710	0.332810802940831	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4466	hsa-miR-4466	0.103215242208131	0.893170141111522	0.972857097713563	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-376a-2-5p	hsa-miR-376a-2-5p	0.0621541465042901	0.802241162171337	0.955943601815913	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-143-5p	hsa-miR-143-5p	1.01366574678396	0.0684027724928185	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-376c-5p	hsa-miR-376c-5p	-0.06530434541419	0.756713927988384	0.938893632400183	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-663b	hsa-miR-663b	0.397122856885267	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4769-5p	hsa-miR-4769-5p	0.963706823535927	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
